arr ; signal ; angle ; dist ; K1 ; K2 ; K3 ; K4 ; K5 ; K6 ; K7 ; K8
A5 ; CH ; 00 ; 10 ; 1.0 ; 0.9224210735310625 ; 1.4592903409353317 ; 1.6980435253119193 ; 1.2830882349475983 ; 1.8389384320330748 ; 1.6596161568207084 ; 12.512632568549302
A5 ; CH ; 10 ; 10 ; 1.0 ; 2.1235610775240468 ; 2.41383805246238 ; 2.5763749537100713 ; 1.708620008604184 ; 2.8514385462089686 ; 2.5144372995039537 ; 18.886777921771756
A5 ; CH ; 25 ; 10 ; 1.0 ; 1.150345820838753 ; 1.7550020417594585 ; 2.30678625525411 ; 1.043204479708105 ; 1.3928674814781938 ; 0.7098088346880195 ; 16.673586211495174
A5 ; CH ; 00 ; 20 ; 1.0 ; 0.7276409870928633 ; 0.576975314673908 ; 1.711243697890131 ; 1.0337959888794084 ; 1.1461209612536423 ; 0.9310640160340105 ; 11.971687460857863
A5 ; CH ; 10 ; 20 ; 1.0 ; 1.3687121364462869 ; 0.908746392021808 ; 1.8077655627079592 ; 1.6047597089940362 ; 1.9558016241347946 ; 1.0467733235049603 ; 16.42475044748397
A5 ; CH ; 25 ; 20 ; 1.0 ; 1.109777757937078 ; 1.1401252221574074 ; 0.9750196249227759 ; 0.9658585003677157 ; 1.077581619329976 ; 0.6259304672883028 ; 11.139598081727772
A5 ; CH ; 00 ; 40 ; 1.0 ; 1.237105316188388 ; 1.4727984079482097 ; 1.698910344392995 ; 1.6643950904144813 ; 1.5342318966868917 ; 1.6584040672080045 ; 17.478883856297017
A5 ; CH ; 10 ; 40 ; 1.0 ; 2.18956800477117 ; 1.773043477315643 ; 2.1440121113895287 ; 1.7848476147147894 ; 2.5121059076326606 ; 1.2266627224803135 ; 22.36301543514956
A5 ; CH ; 25 ; 40 ; 1.0 ; 1.6981995578515507 ; 2.130062101408232 ; 1.6963485154751368 ; 1.4173257486437643 ; 2.031497534240622 ; 1.7452281729936623 ; 14.81169787688998
A5 ; CH ; 00 ; 60 ; 1.0 ; 1.3349287956169704 ; 1.2966124243017592 ; 1.845585877828861 ; 1.2803058180820912 ; 1.9354021360518134 ; 1.7185870582023743 ; 20.011313403739003
A5 ; CH ; 10 ; 60 ; 1.0 ; 1.2164836948668436 ; 1.7550517594589679 ; 1.9069268859416886 ; 1.0119679827635066 ; 1.8508669854830533 ; 1.4039260121782653 ; 13.416144578049568
A5 ; CH ; 25 ; 60 ; 1.0 ; 0.7116059732222806 ; 0.7789941297321822 ; 0.744998878892783 ; 0.6852136424633212 ; 0.9977835552089084 ; 0.7011993495180776 ; 10.151981143976148
A5 ; CH ; 00 ; 80 ; 1.0 ; 0.9512560859041905 ; 1.1648241633516094 ; 1.5872847522559765 ; 1.1720121056697848 ; 1.402895526151012 ; 0.9768918416771167 ; 11.474748661646599
A5 ; CH ; 10 ; 80 ; 1.0 ; 1.0010645733845336 ; 1.0848398705264746 ; 1.0740282242325054 ; 1.1475833427756459 ; 1.6563370178507255 ; 1.0975283060776007 ; 15.45168208260236
A5 ; CH ; 25 ; 80 ; 1.0 ; 1.394280832691627 ; 1.5122405719274954 ; 1.5954114219625946 ; 1.0563926453221266 ; 1.1812687782916975 ; 0.9039522891627906 ; 18.482706484664924
A5 ; SX ; 00 ; 10 ; 1.0 ; 0.9529916485420383 ; 1.2346467674897295 ; 0.9480442397449053 ; 1.5137601586563165 ; 1.2735404846915745 ; 1.127342026428858 ; 11.356943459045922
A5 ; SX ; 10 ; 10 ; 1.0 ; 0.8562234713208491 ; 0.8056778875497935 ; 0.9510396989503319 ; 1.3081469594841295 ; 1.104154360441701 ; 0.8263860296393865 ; 9.986076910630606
A5 ; SX ; 25 ; 10 ; 1.0 ; 0.7059875931244098 ; 1.11349884107116 ; 1.0776376609278366 ; 0.9198663123993208 ; 1.2383322113625548 ; 0.9195111507471763 ; 11.540835826517847
A5 ; SX ; 00 ; 20 ; 1.0 ; 0.9716006953864635 ; 2.0117776252903896 ; 1.020122934723448 ; 2.0892031870126564 ; 0.8198054596411364 ; 0.6623536489596782 ; 15.74491832090108
A5 ; SX ; 10 ; 20 ; 1.0 ; 0.9659893895827522 ; 0.8312173523168188 ; 1.1424796488221618 ; 1.278297668247693 ; 1.0513761886688089 ; 0.6266208880483629 ; 9.108826683663425
